rank,title,hot,topic,sentiment,confidence,need_review,risk
1,白玉兰口碑,1456851,白玉兰/口碑,正面,0.9999481439590454,False,低
2,国乒男单资格赛全军覆没,1202808,男单/国乒,负面,0.9998160004615784,False,高
3,国产高性能碳纤维再迎产能重大突破,964805,再迎/碳纤维,正面,0.9973439574241638,False,低
4,原来衣着打扮会影响对自己的感知,821655,衣着打扮/感知,正面,0.9996119141578674,False,低
5,3000块街舞课狗狗学了2900,744040,3000/街舞,负面,0.9999535083770752,False,高
6,恋与深空6.0版本万籁俱起,677384,深空/6.0,正面,0.9883570075035095,False,低
7,豆包和DeepSeek的博弈,647422,DeepSeek/豆包,正面,0.9991614818572998,False,低
8,女子被骗500万丈夫自杀骗子获刑,637765,500/获刑,负面,0.9999233484268188,False,高
9,穆祉丞 你们就是我的恋人,515294,穆祉/恋人,正面,0.9995549321174622,False,低
10,阚清子意难平,496149,阚清子/意难平,负面,0.9968246221542358,False,中
11,敖尹卡面,482657,敖尹/卡面,负面,0.9933213591575623,False,中
12,卢昱晓误触,472501,误触/卢昱晓,负面,0.9999667406082153,False,中
13,刘烨16岁儿子诺一颜值,457780,刘烨/16,正面,0.9999715089797974,False,低
14,立陶宛为挑衅中国付出代价,425585,付出代价/立陶宛,负面,0.9997406601905823,False,中
15,曾沛慈直播,425247,曾沛慈/直播,正面,0.9977370500564575,False,低
16,Alin大闹金曲奖,420557,Alin/金曲奖,负面,0.9999289512634277,False,中
17,伊朗队队长怒斥国际足联,389077,伊朗队/国际足联,负面,0.9999212026596069,False,中
18,只有领导层才能吹空调欧委会被批封建,389063,欧委会/领导层,负面,0.9997068047523499,False,中
19,17岁女生讲述被多次殴打性侵细节,389034,17/性侵,负面,0.9997337460517883,False,中
20,广州一高校禁止小米汽车入园,388989,入园/小米,负面,0.9997801184654236,False,中
21,恋与深空道歉国外玩家评论,388968,深空/玩家,负面,0.9983308911323547,False,中
22,向佐向佑聊天记录,388956,向佐向/聊天记录,正面,0.9825055599212646,False,低
23,李现 杨紫,388914,李现/杨紫,正面,0.7080270051956177,False,低
24,金饰克价年内大跌460元,388872,克价/460,负面,0.9960566759109497,False,中
25,恋与深空,388866,深空,负面,0.9981715679168701,False,中
26,穿和搭一分开就这样,372249,分开/这样,负面,0.9999552965164185,False,中
27,恋与深空文案又被指娱乐化刑事案件,358489,深空/文案,负面,0.99003005027771,False,中
28,杨洋参加军艺同学聚会,344812,杨洋/军艺,正面,0.9999558925628662,False,低
29,白鹿等大家看了莫离第40集再编辑文案,306122,莫离/40,正面,0.9965375661849976,False,低
30,男子吃半根变苦黄瓜致肝衰竭,275596,变苦/致肝,负面,0.9999475479125977,False,低
31,妈妈用玄学治好了暴躁的我,274416,暴躁/治好,正面,0.9999576807022095,False,低
32,真正厉害的都是长期主义,271211,主义/厉害,负面,0.9996846914291382,False,低
33,恋与深空兑换码,267952,深空/兑换,正面,0.9476246237754822,False,低
34,曾沛慈晒照告别浪姐,234010,曾沛/慈晒照,负面,0.9932964444160461,False,低
35,原来大家都是这么恢复能量的,229296,能量/恢复,正面,0.9998459815979004,False,低
36,灿如繁星定档节奏,224604,灿如/定档,正面,0.9999054670333862,False,低
37,多辆百吨王在京新高速强行冲卡,213437,王在京/冲卡,负面,0.9998807907104492,False,低
38,大雷发杨紫白玉兰碎片,202583,大雷发/白玉兰,负面,0.9999345541000366,False,低
39,爱情有烟火,199774,烟火/爱情,负面,0.995934009552002,False,低
40,李在明就韩国队出局致歉,196367,李在明/韩国队,负面,0.9796517491340637,False,低
41,苹果芯片成本涨45售价狂加250美元,185503,45/狂加,负面,0.9962384700775146,False,低
42,委地震后3天仍有幸存者被抬出,180913,幸存者/抬出,负面,0.9991819262504578,False,低
43,女子被骗500万丈夫自杀身亡,179467,500/自杀身亡,负面,0.9998348951339722,False,低
44,抖音通报网红诋毁袁隆平,179127,抖音/网红,负面,0.999904990196228,False,低
45,遭追尾双车夹击身亡女子家属发声,174057,双车/追尾,负面,0.9987733960151672,False,低
46,韩国主教练已被全民拉黑,168531,拉黑/主教练,负面,0.999962329864502,False,低
47,韩国队差旅费亏麻了,167028,亏麻/韩国队,负面,0.9999072551727295,False,低
48,苹果请求采购中国存储芯片,165702,存储芯片/苹果,负面,0.8566324710845947,False,低
49,黎家盈在太空健身画面,165261,黎家盈/健身,正面,0.9842485785484314,False,低
50,小马被游客无人机惊扰狂奔炸肺死亡,164952,炸肺/无人机,负面,0.9999569654464722,False,低
